           ,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jengkol,satuan,tahun
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,641,KUINTAL,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1650,KUINTAL,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,927,KUINTAL,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,KUINTAL,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,1,KUINTAL,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,10,KUINTAL,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,46,KUINTAL,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,204,KUINTAL,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,18074,KUINTAL,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3729,KUINTAL,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7671,KUINTAL,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6314,KUINTAL,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1781,KUINTAL,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,32991,KUINTAL,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18736,KUINTAL,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3713,KUINTAL,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,99,KUINTAL,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1399,KUINTAL,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6078,KUINTAL,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,47,KUINTAL,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,5291,KUINTAL,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9545,KUINTAL,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5282,KUINTAL,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,228,KUINTAL,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6120,KUINTAL,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4308,KUINTAL,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,832,KUINTAL,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,KUINTAL,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,1,KUINTAL,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,36,KUINTAL,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,40,KUINTAL,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,143,KUINTAL,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,9530,KUINTAL,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4852,KUINTAL,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7489,KUINTAL,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11637,KUINTAL,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,1304,KUINTAL,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35609,KUINTAL,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29106,KUINTAL,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4205,KUINTAL,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,145,KUINTAL,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1859,KUINTAL,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7664,KUINTAL,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KUINTAL,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,3728,KUINTAL,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7933,KUINTAL,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8021,KUINTAL,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,272,KUINTAL,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21124,KUINTAL,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4645,KUINTAL,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,853,KUINTAL,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,31,KUINTAL,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,1,KUINTAL,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,50,KUINTAL,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,0,KUINTAL,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,26,KUINTAL,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,1019,KUINTAL,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,6123,KUINTAL,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2941,KUINTAL,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11454,KUINTAL,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,18526,KUINTAL,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,1904,KUINTAL,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,32860,KUINTAL,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,19258,KUINTAL,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5663,KUINTAL,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,23,KUINTAL,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3005,KUINTAL,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8762,KUINTAL,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KUINTAL,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,5813,KUINTAL,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12174,KUINTAL,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5918,KUINTAL,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,487,KUINTAL,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16649,KUINTAL,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3338,KUINTAL,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,692,KUINTAL,2020
